2 510 0.00641627 2281.12 0
2 520 0.0118723 2795.66 0
2 530 0.0213379 2567.36 0
2 540 0.0469464 3434.34 1
2 550 0.186888 4595.06 1
2 560 0.370357 5503.65 1

4 510 0.00339283 2171.27 0
4 520 0.0138971 4079.24 0
4 530 0.0148945 4277.23 0
4 540 0.0842353 12161.5 1
4 550 0.185694 14311.2 1
4 560 0.298583 14571.7 1

6 510 0.00684837 4760.57 0
6 520 0.0141752 8983.76 0
6 530 0.0550298 21186.1 1
6 540 0.212344 9286.77 1
6 550 0.229932 7371.65 1
6 560 0.306584 5667.37 1

8 510 0.017345 14327.4 0
8 520 0.0553145 18781.5 1
8 530 0.101678 11405.5 1
8 540 0.214707 5019.16 1
8 550 0.250498 4193.22 1
8 560 0.315231 3414.27 1

